airport,airport_longName,lat,long,isORD,flightsORD
VIS,Visalia Municipal Airport,36.31869888,-119.3929977,0,0
\N,Tri Cities Airport,46.26470184,-119.1190033,0,0
BFL,Meadows Field,35.43360138,-119.0569992,0,0
PDT,Eastern Oregon Regional At Pendleton Airport,45.69509888,-118.8410034,0,0
MMH,Mammoth Yosemite Airport,37.62409973,-118.8379974,0,0
LAX,Los Angeles International Airport,33.94250107,-118.4079971,0,7
BUR,Bob Hope Airport,34.20069885,-118.3590012,0,0
ALW,Walla Walla Regional Airport,46.09489822,-118.288002,0,0
LGB,Long Beach /Daugherty Field/ Airport,33.81769943,-118.1520004,0,0
SNA,John Wayne Airport-Orange County Airport,33.67570114,-117.8679962,0,3
ONT,Ontario International Airport,34.05599976,-117.6009979,0,0
GEG,Spokane International Airport,47.61989975,-117.5339966,0,0
CLD,Mc Clellan-Palomar Airport,33.12829971,-117.2799988,0,0
SAN,San Diego International Airport,32.73360062,-117.1900024,0,4
PUW,Pullman Moscow Regional Airport,46.7439,-117.110001,0,0
LWS,Lewiston Nez Perce County Airport,46.37450027,-117.0149994,0,0
PSP,Palm Springs International Airport,33.82970047,-116.5070038,0,2
BOI,Boise Air Terminal/Gowen Field,43.5644,-116.223,0,1
EKO,Elko Regional Airport,40.82490158,-115.7919998,0,0
IPL,Imperial County Airport,32.83420181,-115.5790024,0,0
LAS,McCarran International Airport,36.08010101,-115.1520004,0,4
YUM,Yuma MCAS/Yuma International Airport,32.65660095,-114.6060028,0,0
TWF,Joslin Field Magic Valley Regional Airport,42.4818,-114.487999,0,0
FCA,Glacier Park International Airport,48.3105011,-114.2559967,0,0
MSO,Missoula International Airport,46.91630173,-114.0910034,0,0
SGU,St George Municipal Airport,37.036389,-113.510306,0,0
CDC,Cedar City Regional Airport,37.70100021,-113.098999,0,0
PIH,Pocatello Regional Airport,42.90980148,-112.5960007,0,0
BTM,Bert Mooney Airport,45.95479965,-112.4970016,0,0
PRC,Ernest A. Love Field,34.65449905,-112.4199982,0,0
GCN,Grand Canyon National Park Airport,35.95240021,-112.1470032,0,0
IDA,Idaho Falls Regional Airport,43.514599,-112.070999,0,0
OGD,Ogden Hinckley Airport,41.19589996,-112.012001,0,0
PHX,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,0,3
HLN,Helena Regional Airport,46.60680008,-111.9830017,0,0
SLC,Salt Lake City International Airport,40.78839874,-111.9779968,0,4
PVU,Provo Municipal Airport,40.21920013,-111.7229996,0,0
FLG,Flagstaff Pulliam Airport,35.13850021,-111.6709976,0,0
AZA,Phoenix-Mesa-Gateway Airport,33.30780029,-111.6549988,0,0
PGA,Page Municipal Airport,36.92610168,-111.447998,0,0
GTF,Great Falls International Airport,47.48199844,-111.3710022,0,0
BZN,Gallatin Field,45.77750015,-111.1529999,0,1
TUS,Tucson International Airport,32.11610031,-110.9410019,0,2
JAC,Jackson Hole Airport,43.6072998,-110.737999,0,0
SOW,Show Low Regional Airport,34.26549912,-110.0059967,0,0
HVR,Havre City County Airport,48.54299927,-109.762001,0,0
CNY,Canyonlands Field,38.75500107,-109.7549973,0,0
VEL,Vernal Regional Airport,40.4408989,-109.5100021,0,0
RKS,Southwest Wyoming Regional Airport,41.5942,-109.065001,0,0
COD,Yellowstone Regional Airport,44.52019882,-109.0240021,0,0
CEZ,Cortez Municipal Airport,37.3030014,-108.6279984,0,0
BIL,Billings Logan International Airport,45.80770111,-108.5429993,0,0
GJT,Grand Junction Regional Airport,39.12239838,-108.5270004,0,0
RIW,Riverton Regional Airport,43.06420136,-108.4599991,0,0
FMN,Four Corners Regional Airport,36.74119949,-108.2300034,0,0
WRL,Worland Municipal Airport,43.96569824,-107.9509964,0,0
MTJ,Montrose Regional Airport,38.50979996,-107.8939972,0,0
DRO,Durango La Plata County Airport,37.1515007,-107.7539978,0,0
HDN,Yampa Valley Airport,40.48120117,-107.2180023,0,0
SHR,Sheridan County Airport,44.76919937,-106.9800034,0,0
GUC,Gunnison Crested Butte Regional Airport,38.53390121,-106.9329987,0,0
EGE,Eagle County Regional Airport,39.64260101,-106.9179993,0,0
ASE,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,0,0
GGW,Wokal Field Glasgow International Airport,48.212502,-106.614998,0,0
ABQ,Albuquerque International Sunport,35.040199,-106.609001,0,3
CPR,Casper-Natrona County International Airport,42.90800095,-106.4639969,0,0
ELP,El Paso International Airport,31.80719948,-106.3779984,0,2
LAM,Los Alamos Airport,35.87979889,-106.2689972,0,0
SAF,Santa Fe Municipal Airport,35.61709976,-106.0889969,0,0
ALS,San Luis Valley Regional Bergman Field,37.434898,-105.866997,0,0
LAR,Laramie Regional Airport,41.31209946,-105.6750031,0,0
OLF,L M Clayton Airport,48.0945015,-105.5749969,0,0
GCC,Gillette Campbell County Airport,44.34889984,-105.5390015,0,0
CYS,Cheyenne Regional Jerry Olson Field,41.15570068,-104.8119965,0,0
GDV,Dawson Community Airport,47.13869858,-104.8069992,0,0
COS,City of Colorado Springs Municipal Airport,38.805801,-104.700996,0,1
DEN,Denver International Airport,39.86169815,-104.6729965,0,4
ROW,Roswell International Air Center Airport,33.30160141,-104.5309982,0,0
PUB,Pueblo Memorial Airport,38.28910065,-104.4970016,0,0
CNM,Cavern City Air Terminal,32.33750153,-104.2630005,0,0
SDY,Sidney - Richland Regional Airport,47.706902,-104.193001,0,0
ISN,Sloulin Field International Airport,48.17789841,-103.6419983,0,0
BFF,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,0,0
HOB,Lea County Regional Airport,32.6875,-103.2170029,0,0
CDR,Chadron Municipal Airport,42.83760071,-103.0950012,0,0
RAP,Rapid City Regional Airport,44.04529953,-103.0569992,0,1
AIA,Alliance Municipal Airport,42.05319977,-102.8040009,0,0
DIK,Dickinson Theodore Roosevelt Regional Airport,46.79740143,-102.802002,0,0
MAF,Midland International Airport,31.94249916,-102.2020035,0,0
LBB,Lubbock Preston Smith International Airport,33.663601,-101.822998,0,0
AMA,Rick Husband Amarillo International Airport,35.219398,-101.706001,0,0
MOT,Minot International Airport,48.25939941,-101.2799988,0,0
LBL,Liberal Mid-America Regional Airport,37.0442009,-100.9599991,0,0
BIS,Bismarck Municipal Airport,46.77270126,-100.7460022,0,0
GCK,Garden City Regional Airport,37.92750168,-100.723999,0,0
LBF,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,0,0
MCK,Mc Cook Ben Nelson Regional Airport,40.20629883,-100.5920029,0,0
SJT,San Angelo Regional Mathis Field,31.35770035,-100.4960022,0,0
PIR,Pierre Regional Airport,44.38270187,-100.2860031,0,0
DDC,Dodge City Regional Airport,37.76340103,-99.96559906,0,0
ABI,Abilene Regional Airport,32.41130066,-99.68190002,0,0
LRD,Laredo International Airport,27.54380035,-99.46160126,0,0
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,33.9888,-98.491898,0,0
SAT,San Antonio International Airport,29.53370094,-98.46980286,0,3
ABR,Aberdeen Regional Airport,45.44910049,-98.42179871,0,0
LAW,Lawton Fort Sill Regional Airport,34.56769943,-98.41660309,0,0
GRI,Central Nebraska Regional Airport,40.96749878,-98.30960083,0,0
MFE,Mc Allen Miller International Airport,26.17580032,-98.23860168,0,0
HON,Huron Regional Airport,44.3852005,-98.22850037,0,0
GRK,Robert Gray  Army Air Field Airport,31.06719971,-97.8289032,0,0
AUS,Austin Bergstrom International Airport,30.19449997,-97.66989899,0,3
HRL,Valley International Airport,26.22850037,-97.65440369,0,0
SLN,Salina Municipal Airport,38.79100037,-97.65219879,0,0
OKC,Will Rogers World Airport,35.39310074,-97.60070038,0,3
CRP,Corpus Christi International Airport,27.77039909,-97.50119781,0,0
ICT,Wichita Eisenhower National Airport,37.649899,-97.433098,0,3
BRO,Brownsville South Padre Island International Airport,25.90679932,-97.42590332,0,0
ACT,Waco Regional Airport,31.61129951,-97.23049927,0,0
GFK,Grand Forks International Airport,47.949299,-97.176102,0,0
ATY,Watertown Regional Airport,44.91400146,-97.15470123,0,0
DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,0,4
VCT,Victoria Regional Airport,28.8526001,-96.91850281,0,0
DAL,Dallas Love Field,32.847099,-96.851799,0,0
FAR,Hector International Airport,46.92070007,-96.81580353,0,3
LNK,Lincoln Airport,40.85100174,-96.75920105,0,1
FSD,Joe Foss Field Airport,43.58200073,-96.74189758,0,3
MHK,Manhattan Regional Airport,39.14099884,-96.67079926,0,2
SUX,Sioux Gateway Col. Bud Day Field,42.40259933,-96.38439941,0,2
CLL,Easterwood Field,30.58860016,-96.36380005,0,0
TVF,Thief River Falls Regional Airport,48.06570053,-96.18499756,0,0
OMA,Eppley Airfield,41.3032,-95.894096,0,3
TUL,Tulsa International Airport,36.19839859,-95.88809967,0,3
FOE,Topeka Regional Airport - Forbes Field,38.95090103,-95.66359711,0,1
TYR,Tyler Pounds Regional Airport,32.35409927,-95.40239716,0,0
IAH,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,0,4
HOU,William P Hobby Airport,29.64539909,-95.27890015,0,0
BJI,Bemidji Regional Airport,47.50939941,-94.93370056,0,0
MCI,Kansas City International Airport,39.2976,-94.713898,0,3
GGG,East Texas Regional Airport,32.38399887,-94.71150208,0,0
JLN,Joplin Regional Airport,37.15179825,-94.49829865,0,0
FSM,Fort Smith Regional Airport,35.33660126,-94.36740112,0,0
XNA,Northwest Arkansas Regional Airport,36.281898,-94.306801,0,3
BRD,Brainerd Lakes Regional Airport,46.39830017,-94.13809967,0,0
STC,St Cloud Regional Airport,45.54660034,-94.05989838,0,1
BPT,Southeast Texas Regional Airport,29.95079994,-94.02069855,0,0
TXK,Texarkana Regional Webb Field,33.45370102,-93.99099731,0,0
SHV,Shreveport Regional Airport,32.446602,-93.8256,0,0
DSM,Des Moines International Airport,41.5340004,-93.6631012,0,3
INL,Falls International Airport,48.56620026,-93.40309906,0,0
SGF,Springfield Branson National Airport,37.24570084,-93.38860321,0,3
LCH,Lake Charles Regional Airport,30.12610054,-93.22329712,0,0
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.221802,0,5
HRO,Boone County Airport,36.26150131,-93.15470123,0,0
HOT,Memorial Field,34.47800064,-93.09619904,0,0
HIB,Range Regional Airport,47.38660049,-92.83899689,0,0
ELD,South Arkansas Regional At Goodwin Field,33.22100067,-92.81330109,0,0
AEX,Alexandria International Airport,31.32740021,-92.54979706,0,0
IRK,Kirksville Regional Airport,40.09349823,-92.54489899,0,0
RST,Rochester International Airport,43.90829849,-92.5,0,2
ALO,Waterloo Regional Airport,42.55709839,-92.40029907,0,2
LIT,Bill & Hillary Clinton National Airport/Adams Field,34.72940063,-92.22429657,0,3
COU,Columbia Regional Airport,38.81809998,-92.21959686,0,2
DLH,Duluth International Airport,46.84209824,-92.19360352,0,1
TBN,Waynesville-St. Robert Regional Forney field,37.74160004,-92.14070129,0,0
MLU,Monroe Regional Airport,32.51089859,-92.03769684,0,0
LFT,Lafayette Regional Airport,30.20529938,-91.98760223,0,0
CID,The Eastern Iowa Airport,41.88470078,-91.71080017,0,3
EAU,Chippewa Valley Regional Airport,44.86579895,-91.48429871,0,1
LSE,La Crosse Municipal Airport,43.879002,-91.256699,0,2
UIN,Quincy Regional Baldwin Field,39.94269943,-91.19460297,0,0
BTR,Baton Rouge Metropolitan Airport,30.533199,-91.149597,0,0
BRL,Southeast Iowa Regional Airport,40.78319931,-91.12550354,0,1
GLH,Mid Delta Regional Airport,33.48289871,-90.98560333,0,0
DBQ,Dubuque Regional Airport,42.40200043,-90.70950317,0,2
JBR,Jonesboro Municipal Airport,35.83169937,-90.64640045,0,0
MLI,Quad City International Airport,41.44850159,-90.50749969,0,3
STL,St Louis Lambert International Airport,38.748697,-90.370003,0,3
MSY,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,0,8
JAN,Jackson-Medgar Wiley Evers International Airport,32.31119919,-90.07589722,0,1
MEM,Memphis International Airport,35.04240036,-89.97669983,0,4
BLV,Scott AFB/Midamerica Airport,38.5452,-89.835197,0,0
PIA,General Wayne A. Downing Peoria International Airport,40.66419983,-89.69329834,0,3
CWA,Central Wisconsin Airport,44.77759933,-89.66680145,0,3
CGI,Cape Girardeau Regional Airport,37.22529984,-89.57080078,0,0
RHI,Rhinelander Oneida County Airport,45.63119888,-89.46749878,0,0
MSN,Dane County Regional Truax Field,43.13990021,-89.33750153,0,3
PIB,Hattiesburg Laurel Regional Airport,31.46710014,-89.33709717,0,0
RFD,Chicago Rockford International Airport,42.19540024,-89.09719849,0,0
GPT,Gulfport Biloxi International Airport,30.40730095,-89.07009888,0,0
MWA,Williamson County Regional Airport,37.75500107,-89.01110077,0,0
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,0,2
MKL,Mc Kellar Sipes Regional Airport,35.59989929,-88.91560364,0,0
DEC,Decatur Airport,39.83459854,-88.86569977,0,1
PAH,Barkley Regional Airport,37.06079865,-88.77380371,0,1
TUP,Tupelo Regional Airport,34.26810074,-88.76989746,0,0
MEI,Key Field,32.33259964,-88.75189972,0,0
GTR,Golden Triangle Regional Airport,33.45029831,-88.59140015,0,0
ATW,Appleton International Airport,44.2580986,-88.51909637,0,1
CMX,Houghton County Memorial Airport,47.16839981,-88.4890976,0,1
CMI,University of Illinois Willard Airport,40.03919983,-88.27809906,0,2
MOB,Mobile Regional Airport,30.69120026,-88.24279785,0,1
GRB,Austin Straubel International Airport,44.48509979,-88.12960052,0,3
IMT,Ford Airport,45.81840134,-88.11450195,0,0
ORD,Chicago O'Hare International Airport,41.9786,-87.9048,1,0
MKE,General Mitchell International Airport,42.94720078,-87.89659882,0,3
MDW,Chicago Midway International Airport,41.785999,-87.752403,0,0
MSL,Northwest Alabama Regional Airport,34.74530029,-87.61019897,0,0
EVV,Evansville Regional Airport,38.03699875,-87.53240204,0,2
MQT,Sawyer International Airport,46.35359955,-87.395401,0,2
PNS,Pensacola Regional Airport,30.47340012,-87.18659973,0,1
OWB,Owensboro Daviess County Airport,37.74010086,-87.16680145,0,0
ESC,Delta County Airport,45.72269821,-87.09369659,0,0
HSV,Huntsville International Carl T Jones Field,34.6371994,-86.77510071,0,3
BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,0,1
BNA,Nashville International Airport,36.12450027,-86.67819977,0,3
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,0,0
MGM,Montgomery Regional (Dannelly Field) Airport,32.30059814,-86.39399719,0,0
SBN,South Bend Regional Airport,41.70869827,-86.31729889,0,1
IND,Indianapolis International Airport,39.7173,-86.294403,0,3
MBL,Manistee Co Blacker Airport,44.2723999,-86.24690247,0,0
MKG,Muskegon County Airport,43.16949844,-86.23819733,0,1
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,0,0
SDF,Louisville International Standiford Field,38.1744,-85.736,0,3
TVC,Cherry Capital Airport,44.74140167,-85.5821991,0,3
AZO,Kalamazoo Battle Creek International Airport,42.23490143,-85.55210114,0,2
GRR,Gerald R. Ford International Airport,42.88079834,-85.52279663,0,3
DHN,Dothan Regional Airport,31.32130051,-85.44960022,0,0
CHA,Lovell Field,35.03530121,-85.20379639,0,2
FWA,Fort Wayne International Airport,40.97850037,-85.19509888,0,3
CSG,Columbus Metropolitan Airport,32.5163002,-84.93890381,0,0
PLN,Pellston Regional Airport of Emmet County Airport,45.57089996,-84.79669952,0,0
CVG,Cincinnati Northern Kentucky International Airport,39.04880142,-84.6678009,0,4
LEX,Blue Grass Airport,38.03649902,-84.60590363,0,3
FFT,Capital City Airport,42.77870178,-84.58740234,0,1
CIU,Chippewa County International Airport,46.25080109,-84.47239685,0,0
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,0,19
LUK,Cincinnati Municipal Airport Lunken Field,39.10329819,-84.41860199,0,0
TLH,Tallahassee Regional Airport,30.39649963,-84.35030365,0,0
DAY,James M Cox Dayton International Airport,39.90240097,-84.2193985,0,3
ABY,Southwest Georgia Regional Airport,31.53549957,-84.19450378,0,0
MBS,MBS International Airport,43.53290176,-84.07959747,0,1
TYS,McGhee Tyson Airport,35.81100082,-83.9940033,0,3
TOL,Toledo Express Airport,41.58679962,-83.80780029,0,2
FNT,Bishop International Airport,42.9654007,-83.74359894,0,2
MCN,Middle Georgia Regional Airport,32.69279861,-83.64920044,0,0
APN,Alpena County Regional Airport,45.0780983,-83.56030273,0,0
DTW,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,0,4
AHN,Athens Ben Epps Airport,33.94860077,-83.32630157,0,0
VLD,Valdosta Regional Airport,30.78249931,-83.27670288,0,0
LCK,Rickenbacker International Airport,39.813801,-82.927803,0,0
CMH,John Glenn Columbus International Airport,39.998001,-82.891899,0,3
PIE,St Petersburg Clearwater International Airport,27.91020012,-82.68740082,0,0
HTS,Tri-State/Milton J. Ferguson Field,38.36669922,-82.55799866,0,0
SRQ,Sarasota Bradenton International Airport,27.39539909,-82.55439758,0,1
AVL,Asheville Regional Airport,35.43619919,-82.54180145,0,1
TPA,Tampa International Airport,27.97550011,-82.53320313,0,4
TRI,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,0,0
GNV,Gainesville Regional Airport,29.69009972,-82.27179718,0,0
GSP,Greenville Spartanburg International Airport,34.89569855,-82.21890259,0,1
PGD,Charlotte County Airport,26.92020035,-81.9905014,0,0
AGS,Augusta Regional At Bush Field,33.36989975,-81.96450043,0,0
CLE,Cleveland Hopkins International Airport,41.4117012,-81.84980011,0,3
APF,Naples Municipal Airport,26.15259933,-81.77529907,0,0
EYW,Key West International Airport,24.55610085,-81.75959778,0,0
RSW,Southwest Florida International Airport,26.53619957,-81.75520325,0,4
JAX,Jacksonville International Airport,30.49410057,-81.68789673,0,3
CRW,Yeager Airport,38.37310028,-81.59320068,0,0
BQK,Brunswick Golden Isles Airport,31.25880051,-81.46649933,0,0
CAK,Akron Canton Regional Airport,40.91609955,-81.44219971,0,1
PKB,Mid Ohio Valley Regional Airport,39.3451004,-81.43920136,0,0
UST,Northeast Florida Regional Airport,29.9592,-81.339798,0,0
MCO,Orlando International Airport,28.42939949,-81.30899811,0,4
SFB,Orlando Sanford International Airport,28.77759933,-81.23750305,0,0
SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,0,1
BKW,Raleigh County Memorial Airport,37.78730011,-81.12419891,0,0
CAE,Columbia Metropolitan Airport,33.93880081,-81.11949921,0,1
DAB,Daytona Beach International Airport,29.179899,-81.058098,0,0
CLT,Charlotte Douglas International Airport,35.2140007,-80.94309998,0,3
HHH,Hilton Head Airport,32.22439957,-80.69750214,0,0
YNG,Youngstown Warren Regional Airport,41.26070023,-80.67910004,0,0
MLB,Melbourne International Airport,28.10280037,-80.64530182,0,0
LWB,Greenbrier Valley Airport,37.85829926,-80.39949799,0,0
MIA,Miami International Airport,25.79319954,-80.29060364,0,3
PIT,Pittsburgh International Airport,40.49150085,-80.23290253,0,3
CKB,North Central West Virginia Airport,39.29660034,-80.22810364,0,0
ERI,Erie International Tom Ridge Field,42.08312701,-80.17386675,0,0
FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,0,4
PBI,Palm Beach International Airport,26.68320084,-80.09559631,0,2
CHS,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,0,1
ROA,Roanokeâ€“Blacksburg Regional Airport,37.3255,-79.975403,0,1
GSO,Piedmont Triad International Airport,36.09780121,-79.93730164,0,1
MGW,Morgantown Municipal Walter L. Bill Hart Field,39.64289856,-79.91629791,0,0
FKL,Venango Regional Airport,41.37789917,-79.86039734,0,0
FLO,Florence Regional Airport,34.1853981,-79.72389984,0,0
LBE,Arnold Palmer Regional Airport,40.27590179,-79.40480042,0,0
JHW,Chautauqua County-Jamestown Airport,42.15340042,-79.25800323,0,0
LYH,Lynchburg Regional Preston Glenn Field,37.3266983,-79.20040131,0,0
IAG,Niagara Falls International Airport,43.1072998,-78.94619751,0,0
MYR,Myrtle Beach International Airport,33.67969894,-78.92829895,0,2
DUJ,DuBois Regional Airport,41.17829895,-78.8986969,0,0
SHD,Shenandoah Valley Regional Airport,38.26380157,-78.89640045,0,0
FAY,Fayetteville Regional Grannis Field,34.99119949,-78.88030243,0,0
JST,John Murtha Johnstown Cambria County Airport,40.31610107,-78.83390045,0,0
RDU,Raleigh Durham International Airport,35.87760162,-78.78749847,0,3
BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,0,3
BFD,Bradford Regional Airport,41.80310059,-78.64009857,0,0
CHO,Charlottesville Albemarle Airport,38.1385994,-78.45290375,0,2
AOO,Altoona Blair County Airport,40.29639816,-78.31999969,0,0
ILM,Wilmington International Airport,34.27059937,-77.90260315,0,0
SCE,University Park Airport,40.84930038,-77.84870148,0,1
HGR,Hagerstown Regional Richard A Henson Field,39.707901,-77.72949982,0,0
ROC,Greater Rochester International Airport,43.1189003,-77.67240143,0,3
OAJ,Albert J Ellis Airport,34.82920074,-77.61209869,0,0
IAD,Washington Dulles International Airport,38.94449997,-77.45580292,0,1
PGV,Pitt Greenville Airport,35.6352005,-77.38529968,0,0
RIC,Richmond International Airport,37.50519943,-77.31970215,0,3
EWN,Coastal Carolina Regional Airport,35.07300186,-77.04290009,0,0
DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,0,3
IPT,Williamsport Regional Airport,41.2417984,-76.9210968,0,0
ELM,Elmira Corning Regional Airport,42.15990067,-76.89160156,0,1
MDT,Harrisburg International Airport,40.19350052,-76.76339722,0,3
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,0,3
PHF,Newport News Williamsburg International Airport,37.13190079,-76.49299622,0,0
ITH,Ithaca Tompkins Regional Airport,42.49100113,-76.45839691,0,0
LNS,Lancaster Airport,40.12170029,-76.2960968,0,0
ORF,Norfolk International Airport,36.89459991,-76.20120239,0,1
SYR,Syracuse Hancock International Airport,43.11119843,-76.10630035,0,3
ART,Watertown International Airport,43.9919014,-76.021698,0,2
BGM,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,0,0
AVP,Wilkes Barre Scranton International Airport,41.33850098,-75.7233963,0,1
ILG,New Castle Airport,39.67869949,-75.60649872,0,0
SBY,Salisbury Ocean City Wicomico Regional Airport,38.34049988,-75.51029968,0,0
OGS,Ogdensburg International Airport,44.68190002,-75.46549988,0,0
ABE,Lehigh Valley International Airport,40.65209961,-75.44080353,0,1
PHL,Philadelphia International Airport,39.87189865,-75.2410965,0,3
MSS,Massena International Richards Field,44.93579865,-74.84559631,0,0
TTN,Trenton Mercer Airport,40.27669907,-74.81349945,0,0
ACY,Atlantic City International Airport,39.45759964,-74.57720184,0,2
MMU,Morristown Municipal Airport,40.79940033,-74.41490173,0,0
SLK,Adirondack Regional Airport,44.38529968,-74.20619965,0,0
EWR,Newark Liberty International Airport,40.69250107,-74.16870117,0,3
SWF,Stewart International Airport,41.5041008,-74.10479736,0,0
TEB,Teterboro Airport,40.85010147,-74.06079865,0,0
LGA,La Guardia Airport,40.77719879,-73.87259674,0,5
ALB,Albany International Airport,42.74829865,-73.80169678,0,1
JFK,John F Kennedy International Airport,40.63980103,-73.77890015,0,5
HPN,Westchester County Airport,41.06700134,-73.70760345,0,3
PBG,Plattsburgh International Airport,44.65090179,-73.4681015,0,0
BTV,Burlington International Airport,44.47190094,-73.15329742,0,1
ISP,Long Island Mac Arthur Airport,40.79520035,-73.10019684,0,0
RUT,Rutland - Southern Vermont Regional Airport,43.52939987,-72.94960022,0,0
HVN,Tweed New Haven Airport,41.26369858,-72.88680267,0,0
BDL,Bradley International Airport,41.93889999,-72.68319702,0,3
LEB,Lebanon Municipal Airport,43.62609863,-72.30419922,0,0
ORH,Worcester Regional Airport,42.26729965,-71.8757019,0,0
MHT,Manchester-Boston Regional Airport,42.932598,-71.435699,0,1
PVD,Theodore Francis Green State Airport,41.73260117,-71.42040253,0,1
BOS,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,0,5
EWB,New Bedford Regional Airport,41.67610168,-70.95690155,0,0
PSM,Portsmouth International at Pease Airport,43.07789993,-70.82330322,0,0
MVY,Martha's Vineyard Airport,41.39310074,-70.61430359,0,0
PWM,Portland International Jetport Airport,43.64619827,-70.30930328,0,0
HYA,Barnstable Municipal Boardman Polando Field,41.66930008,-70.28040314,0,0
PVC,Provincetown Municipal Airport,42.07189941,-70.2213974,0,0
ACK,Nantucket Memorial Airport,41.25310135,-70.06020355,0,0
AUG,Augusta State Airport,44.3205986,-69.79730225,0,0
RKD,Knox County Regional Airport,44.06010056,-69.09919739,0,0
BGR,Bangor International Airport,44.80739975,-68.82810211,0,0
BHB,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,0,0
PQI,Northern Maine Regional Airport at Presque Isle,46.68899918,-68.0447998,0,0
