fid,OBJECTID,ParcelID,TaxYear,Address,AddrNumber,AddrPreDir,AddrStreet,AddrSuffix,AddrPosDir,AddrUntTyp,AddrUnit,Owner,OwnerAddr1,OwnerAddr2,TaxDist,TotAssess,LandAssess,ImprAssess,TotAppr,LandAppr,ImprAppr,LUCode,ClassCode,ExCode,LivUnits,LandAcres,NbrHood,Subdiv,SubdivNum,SubdivLot,SubdivBlck,FeatureID,Shape__Are,Shape__Len,__owner_un,__addr_uni,__owner_co,__addr_cou,__Owner,__OwnerAdd,__OwnerA_1
15,8527,22 541009022085,2020,13558 WEYCROFT CIR,13558,,WEYCROFT,CIR,,,,IH6 PROPERTY GEORGIA LP,1717 MAIN ST SUITE 2000,DALLAS TX 75201,56,115880,23400,92480,289700,58500,231200,101,R3,,1,0.1838,22101,,,,,22 541009022085,7951.395752,419.5988124,,,863,96,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS TX 75201
16,8554,22 541009023182,2020,665 ALSTONEFIELD DR,665,,ALSTONEFIELD,DR,,,,2018 3 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS TX 75201,56,112360,26680,85680,280900,66700,214200,101,R3,,1,0.13,22101,,,,,22 541009023182,6406.803467,351.5280026,,,863,96,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS TX 75201
17,8673,22 542009714705,2020,13425 AVENSONG IVES WAY,13425,,AVENSONG IVES,WAY,,,,IH5 PROPERTY GEORGIA LP,8601 DUNWOODY PL SUITE 520,SANDY SPRINGS GA 30350,56,94120,20600,73520,235300,51500,183800,101,R3,,1,0.1422,22004,,,,,22 542009714705,6479.945313,350.0412932,,,863,9,INVITATION HOMES,8601 DUNWOODY PL SUITE 520,SANDY SPRINGS GA 30350
18,8835,22 542009720454,2020,240 CADENCE CT,240,,CADENCE,CT,,,,2018 4 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS TX 75201,56,104800,24160,80640,262000,60400,201600,101,R3,,1,0.34,22004,,,,,22 542009720454,13429.89893,505.2910193,,,863,287,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS TX 75201
19,9033,22 542009731899,2020,3711 AVENSONG VILLAGE CIR,3711,,AVENSONG VILLAGE,CIR,,,,2018 3 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS TX 75201,56,84720,21160,63560,211800,52900,158900,101,R3,,1,0.15,22004,,,,,22 542009731899,6172.498535,366.8587207,,,863,96,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS TX 75201
20,9057,22 542009733168,2020,13497 AVENTIDE LN,13497,,AVENTIDE,LN,,,,IH6 PROPERTY GEORGIA LP,1717 MAIN ST SUITE 2000,DALLAS TX 75201,56,98640,17320,81320,246600,43300,203300,101,R3,,1,0.1306,22004,,,,,22 542009733168,5335.281006,389.5776419,,,863,96,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS TX 75201
21,9068,22 542009733390,2020,13536 AVENTIDE LN,13536,,AVENTIDE,LN,,,,CAH 2014 2 BORROWER LLC,8665 E HARTFORD DR STE 200,SCOTTSDALE AZ 85255,56,85920,20800,65120,214800,52000,162800,101,R3,,1,0.1452,22004,,,,,22 542009733390,6503.103516,402.9467407,,,863,80,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE AZ 85255
22,9827,07 140001075240,2020,7944 LARKSVIEW DR,7944,,LARKSVIEW,DR,,,,SRP SUB LLC,8665 E HARTFORD DR SUITE 200,SCOTTSDALE AZ 85255,55,75680,12440,63240,189200,31100,158100,101,R3,,1,0.18,710,,,,,07 140001075240,7986.459229,378.9854925,,,863,40,INVITATION HOMES,8665 E HARTFORD DR SUITE 200,SCOTTSDALE AZ 85255
23,9913,07 140001076495,2020,7889 THE LAKES DR,7889,,THE LAKES,DR,,,,TRANS AM SFE II LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,78400,13480,64920,196000,33700,162300,101,R3,,1,0.2972,710,,,,,07 140001076495,12017.29517,500.2726626,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
24,10131,07 140001083251,2020,781 JASPERSON CT,781,,JASPERSON,CT,,,,SRP SUB LLC,8665 E HARTFORD DR SUITE 200,SCOTTSDALE AZ 85255,55,44320,10800,33520,110800,27000,83800,101,R3,,1,0.0763,711,,,,,07 140001083251,2670.826416,216.5245693,,,863,40,INVITATION HOMES,8665 E HARTFORD DR SUITE 200,SCOTTSDALE AZ 85255
25,10217,07 140001171122,2020,467 GREY HAWK WAY,467,,GREY HAWK,WAY,,,,2017 1 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS TX 75201,55,74160,12200,61960,185400,30500,154900,101,R3,,1,0.1552,710,,,,,07 140001171122,7258.114746,358.9252247,,,863,287,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS TX 75201
26,10338,07 140001181899,2020,6341 EDGEWATER COVE,6341,,EDGEWATER COVE,,,,,FYR SFR BORROWER LLC,5100 TAMARIND REEF,CHRISTIANSTED VI 00820,55,89920,12680,77240,224800,31700,193100,101,R3,,1,0.151,710,,,,,07 140001181899,7121.318604,366.3230663,,,684,464,FRONT YARD RESIDENTIAL / ALTISOURCE ASSET MGMT,5100 TAMARIND REEF,CHRISTIANSTED VI 00820
27,10367,07 140001182202,2020,6385 PHEASANT TRL,6385,,PHEASANT,TRL,,,,2018 4 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS TX 75201,55,82720,12200,70520,206800,30500,176300,101,R3,,1,0.1534,710,,,,,07 140001182202,6640.805908,349.9988393,,,863,287,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS TX 75201
28,10417,07 140001183978,2020,7768 WATERLACE DR,7768,,WATERLACE,DR,,,,CERBERUS SFR HOLDINGS L P,875 THIRD AVE,NEW YORK NY 10022,55,102240,13640,88600,255600,34100,221500,101,R3,,1,0.3184,710,,,,,07 140001183978,13723.37207,515.813191,,,344,39,CERBERUS SFR HOLDINGS,875 THIRD AVE,NEW YORK NY 10022
29,10509,07 140101170552,2020,6167 ALLPOINT WAY,6167,,ALLPOINT,WAY,,,,CERBERUS SFR HOLDINGS II L P,1850 PARKWAY PL STE 900,MARIETTA GA 30067,55,62040,11800,50240,155100,29500,125600,101,R3,,1,0.1337,711,,,,,07 140101170552,5599.333984,322.4996632,,,344,26,CERBERUS SFR HOLDINGS,1850 PARKWAY PL STE 900,MARIETTA GA 30067
30,10555,07 140101171014,2020,7724 BELLMIST DR,7724,,BELLMIST,DR,,,,2017 1 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS TX 75201,55,54600,11040,43560,136500,27600,108900,101,R3,,1,0.1055,711,,,,,07 140101171014,4238.777588,308.9026736,,,863,96,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS TX 75201
31,10575,07 140101171212,2020,7729 BELLMIST DR,7729,,BELLMIST,DR,,,,MUPR 3 ASSETS LLC,5001 PLAZA ON THE LK # 200,AUSTIN TX 78746,55,61160,12120,49040,152900,30300,122600,101,R3,,1,0.17,711,,,,,07 140101171212,6905.598145,448.1818064,,,798,70,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK # 200,AUSTIN TX 78746
32,10578,07 140101171246,2020,7741 BELLMIST DR,7741,,BELLMIST,DR,,,,CERBERUS SFR HOLDINGS L P,P O BOX 2249,CUMMING GA 30028,55,54440,11800,42640,136100,29500,106600,101,R3,,1,0.1943,711,,,,,07 140101171246,7949.852539,504.2117935,,,344,41,CERBERUS SFR HOLDINGS,P O BOX 2249,CUMMING GA 30028
33,10581,07 140101171279,2020,7761 BELLMIST DR,7761,,BELLMIST,DR,,,,SRMZ 4 ASSET COMPANY 1 LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,62080,12440,49640,155200,31100,124100,101,R3,,1,0.2045,711,,,,,07 140101171279,8369.585205,433.0631586,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
34,10651,07 150001184058,2020,7458 SPOLETO LOOP,7458,,SPOLETO LOOP,,,,,CERBERUS SFR HOLDINGS II L P,P O BOX 2249,CUMMING GA 30028,55,63520,9920,53600,158800,24800,134000,101,R3,,1,0.1526,729,,,,,07 150001184058,6467.443604,326.0576347,,,344,41,CERBERUS SFR HOLDINGS,P O BOX 2249,CUMMING GA 30028
35,10677,07 150001184314,2020,7357 SPOLETO LOOP,7357,,SPOLETO LOOP,,,,,2018 2 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS TX 75201,55,64440,9520,54920,161100,23800,137300,101,R3,,1,0.1527,729,,,,,07 150001184314,6702.156738,334.3254423,,,863,287,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS TX 75201
36,10684,07 150001184397,2020,613 ASSOLAS CT,613,,ASSOLAS,CT,,,,SAFARI TWO ASSET COMPANY LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,64480,10360,54120,161200,25900,135300,101,R3,,1,0.2121,729,,,,,07 150001184397,8623.032471,406.641336,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
37,10685,07 150001184405,2020,603 ASSOLAS CT,603,,ASSOLAS,CT,,,,CERBERUS SFR HOLDINGS II LP,PO BOX 2249,CUMMING GA 30028,55,77840,9960,67880,194600,24900,169700,101,R3,,1,0.1543,729,,,,,07 150001184405,7110.637939,334.1773741,,,344,41,CERBERUS SFR HOLDINGS,PO BOX 2249,CUMMING GA 30028
38,10714,07 150001394475,2020,678 ASSOLAS CT,678,,ASSOLAS,CT,,,,2018 3 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS TX 75201,55,53320,9600,43720,133300,24000,109300,101,R3,,1,0.1633,729,,,,,07 150001394475,7419.910645,347.3554302,,,863,96,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS TX 75201
39,10720,07 150001394533,2020,7317 SPOLETO LOOP,7317,,SPOLETO LOOP,,,,,SAFARI ONE ASSET COMPANY LLC,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746,55,74200,9520,64680,185500,23800,161700,101,R3,,1,0.1523,729,,,,,07 150001394533,6515.811279,326.6877745,,,798,74,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746
40,10773,07 150001402146,2020,6246 WAVERLY LN,6246,,WAVERLY,LN,,,,FIREBIRD SFE I LLC,5001 PLAZA ON THE LK STE 200,AUSTIN TX 78746,55,62720,13800,48920,156800,34500,122300,101,R3,,1,0.12,723,,,,,07 150001402146,5747.192383,454.4615313,,,798,53,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK STE 200,AUSTIN TX 78746
41,10844,07 150001402914,2020,7319 PARKS TRL,7319,,PARKS,TRL,,,,BAF I LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,77840,16320,61520,194600,40800,153800,101,R3,,1,0.26,723,,,,,07 150001402914,12031.65674,444.6063406,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
42,10848,07 150001402955,2020,265 MISTY WALK,265,,MISTY WALK,,,,,2015 3 IH2 BORROWER LP,10 GLENLAKE PKWY SUITE 400,ATLANTA GA 30328-3421,55,68800,21280,47520,172000,53200,118800,101,R3,,1,0.177,723,,,,,07 150001402955,8427.429932,388.0031781,,,863,17,INVITATION HOMES,10 GLENLAKE PKWY SUITE 400,ATLANTA GA 30328-3421
43,10960,07 150001405289,2020,540 LAKESIDE VIEW,540,,LAKESIDE VIEW,,,,,2015 3 IH2 BORROWER LP,901 MAIN ST SUITE 4700,DALLAS TX 75202,55,80680,15320,65360,201700,38300,163400,101,R3,,1,0.17,723,,22993,233,,07 150001405289,7384.094482,366.620869,,,863,113,INVITATION HOMES,901 MAIN ST SUITE 4700,DALLAS TX 75202
44,11251,07 150101380259,2020,115 ST THOMAS CT,115,,ST THOMAS,CT,,,,2013 1 IH BORROWER L P,901 MAIN ST SUITE 4700,DALLAS TX 75202,55,72040,14520,57520,180100,36300,143800,101,R3,,1,0.23,750,,22969,8,,07 150101380259,9599.579346,435.4360888,,,863,113,INVITATION HOMES,901 MAIN ST SUITE 4700,DALLAS TX 75202
45,11374,07 150101391439,2020,7376 ST PETER WAY,7376,,ST PETER,WAY,,,,MUPR 3 ASSETS LLC,5001 PLAZA ON THE LK,AUSTIN TX 78746,55,71320,18040,53280,178300,45100,133200,101,R3,,1,0.14,750,,22969,231,,07 150101391439,5595.166748,306.0865985,,,798,9,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK,AUSTIN TX 78746
46,11445,07 150101392361,2020,7283 ST AGNES WAY,7283,,ST AGNES,WAY,,,,CPI AMHERST SFR PROGRAM OWNER L L C,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,59720,13520,46200,149300,33800,115500,101,R3,,1,0.15,750,,23905,175,,07 150101392361,6554.102783,338.5581095,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
47,11530,07 160201700553,2020,6770 PALACE LN,6770,,PALACE,LN,,,,CERBERUS SFR HOLDINGS II L P,P O BOX 2249,CUMMING GA 30028,25,75960,16320,59640,189900,40800,149100,101,R3,,1,1.61,779,,,,,07 160201700553,76370.02612,1125.083534,,,344,41,CERBERUS SFR HOLDINGS,P O BOX 2249,CUMMING GA 30028
48,11534,07 160201700595,2020,6785 PALACE LN,6785,,PALACE,LN,,,,2017 1 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS TX 75201,25,57880,9360,48520,144700,23400,121300,101,R3,,1,1.11,779,,,,,07 160201700595,48257.09961,967.3665429,,,863,96,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS TX 75201
49,11580,07 170001362140,2020,340 PECAN WOOD CIR,340,,PECAN WOOD,CIR,,,,SRMZ 4 ASSET COMPANY 1 LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,67080,10160,56920,167700,25400,142300,101,R3,,1,0.5789,704,,,,,07 170001362140,25513.33545,655.9563374,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
50,11602,07 170001363569,2020,410 CHERRY BRANCH LN,410,,CHERRY BRANCH,LN,,,,2018 4 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS TX 75201,55,41680,6880,34800,104200,17200,87000,101,R3,,1,0.2089,704,,,,,07 170001363569,8831.528564,387.3345938,,,863,287,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS TX 75201
51,11610,07 170001372339,2020,7125 MAHOGANY DR,7125,,MAHOGANY,DR,,,,SUNFIRE 3 LLC,5001 PLAZA ON THE LK # 200,AUSTIN TX 78746,55,53040,7720,45320,132600,19300,113300,101,R3,,1,0.2327,704,,,,,07 170001372339,9348.423828,402.8212483,,,798,70,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK # 200,AUSTIN TX 78746
52,11620,07 170001372776,2020,438 PECAN WOOD CIR,438,,PECAN WOOD,CIR,,,,2015 3 IH2 BORROWER LP,901 MAIN ST SUITE 4700,DALLAS TX 75202,55,44000,9920,34080,110000,24800,85200,101,R3,,1,0.3481,704,,,,,07 170001372776,13536.92432,551.4773639,,,863,113,INVITATION HOMES,901 MAIN ST SUITE 4700,DALLAS TX 75202
53,11630,07 170001372941,2020,540 PECAN WOOD CIR,540,,PECAN WOOD,CIR,,,,SAFARI ONE ASSET COMPANY LLC,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746,55,44040,12920,31120,110100,32300,77800,101,R3,,1,1.15,704,,,,,07 170001372941,53651.84937,1162.717693,,,798,74,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746
54,11631,07 170001372958,2020,519 PECAN WOOD CIR,519,,PECAN WOOD,CIR,,,,CPI AMHERST SFR PROGRAM OWNER LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,48000,9720,38280,120000,24300,95700,101,R3,,1,0.6476,704,,,,,07 170001372958,30844.85303,767.3358401,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
55,11636,07 170001373006,2020,489 PECAN WOOD CIR,489,,PECAN WOOD,CIR,,,,RH PARTNERS OWNERCO LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,47800,6920,40880,119500,17300,102200,101,R3,,1,0.2116,704,,,,,07 170001373006,8669.290771,367.7360895,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
56,11652,07 170001373162,2020,719 CHERRY BRANCH CIR,719,,CHERRY BRANCH,CIR,,,,EPH 2 ASSETS LLC,8300 N MOPAC EXPRESSWAY SUITE 200,AUSTIN TX 78759,55,59400,7120,52280,148500,17800,130700,101,R3,,1,0.2417,704,,,,,07 170001373162,11333.11841,469.3524072,,,798,37,AMHERST HOLDINGS AND SUBSIDIARIES,8300 N MOPAC EXPRESSWAY SUITE 200,AUSTIN TX 78759
57,11653,07 170001373170,2020,725 CHERRY BRANCH CIR,725,,CHERRY BRANCH,CIR,,,,FYR SFR BORROWER LLC,5100 TAMARIND REEF,CHRISTIANSTED VI 00820,55,37800,7000,30800,94500,17500,77000,101,R3,,1,0.2233,704,,,,,07 170001373170,9870.085205,390.9652085,,,684,464,FRONT YARD RESIDENTIAL / ALTISOURCE ASSET MGMT,5100 TAMARIND REEF,CHRISTIANSTED VI 00820
58,11662,07 170001373279,2020,7135 MAHOGANY DR,7135,,MAHOGANY,DR,,,,2014 3 IH BORROWER L P,901 MAIN ST SUITE 4700,DALLAS TX 75202,55,48720,7000,41720,121800,17500,104300,101,R3,,1,0.2246,704,,,,,07 170001373279,9333.698486,405.2731995,,,863,113,INVITATION HOMES,901 MAIN ST SUITE 4700,DALLAS TX 75202
59,11664,07 170001373295,2020,7155 MAHOGANY DR,7155,,MAHOGANY,DR,,,,TRANS AM SFE II LLC,8300 N MOPAC EXPRESSWAY,AUSTIN TX 78759,55,46400,6920,39480,116000,17300,98700,101,R3,,1,0.2159,704,,,,,07 170001373295,8915.948242,395.6432598,,,798,2,AMHERST HOLDINGS AND SUBSIDIARIES,8300 N MOPAC EXPRESSWAY,AUSTIN TX 78759
60,11675,07 170001373402,2020,570 CHERRY BRANCH LN,570,,CHERRY BRANCH,LN,,,,JEFF 1 LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,54160,7560,46600,135400,18900,116500,101,R3,,1,0.2106,704,,,,,07 170001373402,8865.365234,392.7136371,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
61,11676,07 170001373410,2020,560 CHERRY BRANCH LN,560,,CHERRY BRANCH,LN,,,,SAFARI ONE ASSET COMPANY LLC,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746,55,46760,7000,39760,116900,17500,99400,101,R3,,1,0.223,704,,,,,07 170001373410,9347.33252,406.3076289,,,798,74,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746
62,11679,07 170001373444,2020,530 CHERRY BRANCH LN,530,,CHERRY BRANCH,LN,,,,TRANS AM SFE II LLC,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746,55,56560,7720,48840,141400,19300,122100,101,R3,,1,0.2333,704,,,,,07 170001373444,10828.18579,436.6721283,,,798,429,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK SUITE 200,AUSTIN TX 78746
63,11684,07 170001373493,2020,480 CHERRY BRANCH LN,480,,CHERRY BRANCH,LN,,,,RH PARTNERS OWNERCO LLC,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746,55,47280,7960,39320,118200,19900,98300,101,R3,,1,0.3756,704,,,,,07 170001373493,8963.984619,405.9866739,,,798,74,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746
64,11699,07 170001373691,2020,429 PECAN WOOD CIR,429,,PECAN WOOD,CIR,,,,RH PARTNERS OWNERCO LLC,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746,55,51800,7560,44240,129500,18900,110600,101,R3,,1,0.209,704,,,,,07 170001373691,7955.470215,377.5109595,,,798,74,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN TX 78746
65,11702,07 170001373725,2020,447 PECAN WOOD CIR,447,,PECAN WOOD,CIR,,,,MUPR 3 ASSETS LLC,5001 PLAZA ON THE LK # 200,AUSTIN TX 78746,55,50920,7040,43880,127300,17600,109700,101,R3,,1,0.2353,704,,,,,07 170001373725,10322.93872,420.5004883,,,798,70,AMHERST HOLDINGS AND SUBSIDIARIES,5001 PLAZA ON THE LK # 200,AUSTIN TX 78746
66,11703,07 170001373733,2020,453 PECAN WOOD CIR,453,,PECAN WOOD,CIR,,,,CERBERUS SFR HOLDINGS II LP,PO BOX 2249,CUMMING GA 30028,55,60680,7560,53120,151700,18900,132800,101,R3,,1,0.2092,704,,,,,07 170001373733,8414.250488,385.5797416,,,344,41,CERBERUS SFR HOLDINGS,PO BOX 2249,CUMMING GA 30028
