formatted_address,index,lat,long,accuracy
"Huangshigang, Huangshi, Hubei, China",173,30.223003,115.065978,political
"Xisaishan, Huangshi, Hubei, China",174,30.204924,115.109955,political
"Xialu, Huangshi, Hubei, China",175,30.173912,114.961327,political
"Tieshan, Huangshi, Hubei, China",176,30.206592,114.901412,political
"Yangxin, Huangshi, Hubei, China",177,29.830257,115.215227,political
"Daye, Huangshi, Hubei, China",178,30.095643,114.979875,political
"Maojian, Shiyan, Hubei, China",179,32.591904,110.813719,political
"Zhangwan, Shiyan, Hubei, China",180,32.652297,110.769132,political
"Yunyang, Shiyan, Hubei, China",181,32.834775,110.81205,political
"Yunxi, Shiyan, Hubei, China",182,32.993182,110.425983,political
"Zhushan, Shiyan, Hubei, China",183,32.224808,110.228747,political
"Zhuxi, Shiyan, Hubei, China",184,32.318255,109.715304,political
"Fangxian, Shiyan, Hubei, China",185,32.055542,110.741092,political
"Danjiangkou, Shiyan, Hubei, China",186,32.540157,111.513127,political
"Xiling, Yichang, Hubei, China",187,30.710782,111.285646,political
"Wujiagang, Yichang, Hubei, China",188,30.644334,111.361037,political
"Dianjun, Yichang, Hubei, China",189,30.693247,111.268119,political
"Xiaoting, Yichang, Hubei, China",190,30.530903,111.43462,political
"Yiling, Yichang, Hubei, China",191,30.770005,111.32638,political
"Yuan'an, Yichang, Hubei, China",192,31.060869,111.640508,political
"Xingshan, Yichang, Hubei, China",193,31.348196,110.746804,political
"Zigui, Yichang, Hubei, China",194,30.825897,110.977711,political
"Changyang, Yichang, Hubei, China",195,30.467146,111.198731,political
"Wufeng, Yichang, Hubei, China",196,30.199688,110.674706,political
"Yidu, Yichang, Hubei, China",197,30.378326,111.450006,political
"Dangyang, Yichang, Hubei, China",198,30.821266,111.788312,political
"Zhijiang, Yichang, Hubei, China",199,30.42594,111.76053,political
"Xiangcheng, Xiangyang, Hubei, China",200,32.010366,112.134052,political
"Fancheng, Xiangyang, Hubei, China",201,32.044833,112.135684,political
"Xiangzhou, Xiangyang, Hubei, China",202,32.087127,112.211982,political
"Nanzhang, Xiangyang, Hubei, China",203,31.774635,111.838905,political
"Gucheng, Xiangyang, Hubei, China",204,32.263849,111.652982,political
"Baokang, Xiangyang, Hubei, China",205,31.87831,111.261308,political
"Laohekou, Xiangyang, Hubei, China",206,32.359068,111.683861,political
"Zaoyang, Xiangyang, Hubei, China",207,32.128818,112.771959,political
"Yicheng, Xiangyang, Hubei, China",208,31.719806,112.257788,political
"Liangzihu, Ezhou, Hubei, China",209,30.100141,114.684731,political
"Huarong, Ezhou, Hubei, China",210,30.534309,114.729878,political
"Echeng, Ezhou, Hubei, China",211,30.400572,114.891614,political
"Dongbao, Jingmen, Hubei, China",212,31.051852,112.201493,political
"Duodao, Jingmen, Hubei, China",213,30.97343,112.207832,political
"Jingshan, Jingmen, Hubei, China",214,31.018457,113.119566,political
"Shayang, Jingmen, Hubei, China",215,30.709221,112.588581,political
"Zhongxiang, Jingmen, Hubei, China",216,31.16782,112.58812,political
"Xiaonan, Xiaogan, Hubei, China",217,30.916874,113.910958,political
"Xiaochang, Xiaogan, Hubei, China",218,31.258159,113.998009,political
"Dawu, Xiaogan, Hubei, China",219,31.561164,114.127022,political
"Yunmeng, Xiaogan, Hubei, China",220,31.020983,113.753554,political
"Yingcheng, Xiaogan, Hubei, China",221,30.92837,113.572707,political
"Anlu, Xiaogan, Hubei, China",222,31.25561,113.688941,political
"Hanchuan, Xiaogan, Hubei, China",223,30.661243,113.839149,political
"Shashi, Jingzhou, Hubei, China",224,30.311056,112.255583,political
"Jingzhou, Hubei, China",225,30.335237,112.239631,locality
"Gong'an, Jingzhou, Hubei, China",226,30.058336,112.229648,political
"Jianli, Jingzhou, Hubei, China",227,29.811574,112.897464,political
"Jiangling, Jingzhou, Hubei, China",228,30.041822,112.424664,political
"Shishou, Jingzhou, Hubei, China",229,29.720938,112.425454,political
"Honghu, Jingzhou, Hubei, China",230,29.826916,113.475801,locality
"Songzi, Jingzhou, Hubei, China",231,30.174529,111.756781,political
"Huangzhou, Huanggang, Hubei, China",232,30.434049,114.879398,political
"Tuanfeng, Huanggang, Hubei, China",233,30.643569,114.872191,political
"Hong'an, Huanggang, Hubei, China",234,31.288153,114.618236,political
"Luotian, Huanggang, Hubei, China",235,30.78429,115.399222,political
"Yingshan, Huanggang, Hubei, China",236,30.734958,115.681258,political
"Xishui, Huanggang, Hubei, China",237,30.451867,115.265535,political
"Qichun, Huanggang, Hubei, China",238,30.225964,115.437007,political
"Huangmei, Huanggang, Hubei, China",239,30.070453,115.944218,political
"Macheng, Huanggang, Hubei, China",240,31.172739,115.008163,political
"Wuxue, Huanggang, Hubei, China",241,29.844107,115.561217,political
"Xian'an, Xianning, Hubei, China",242,29.852891,114.298711,political
"Jiayu, Xianning, Hubei, China",243,29.970737,113.939277,political
"Tongcheng, Xianning, Hubei, China",244,29.245269,113.816966,political
"Chongyang, Xianning, Hubei, China",245,29.555605,114.039828,political
"Tongshan, Xianning, Hubei, China",246,29.605376,114.482606,political
"Chibi, Xianning, Hubei, China",247,29.724692,113.900628,political
"Zengdou, Suizhou, Hubei, China",248,31.71628,113.37112,political
"Suixian, Suizhou, Hubei, China",249,31.853833,113.299528,political
"Guangshui, Suizhou, Hubei, China",250,31.616853,113.825889,political
"Enshi, Hubei, China",251,30.272156,109.488172,locality
"Lichuan, Enshi, Hubei, China",252,30.290996,108.936375,political
"Jianshi, Enshi, Hubei, China",253,30.601555,109.726667,political
"Badong, Enshi, Hubei, China",254,31.042324,110.340756,political
"Xuan'en, Enshi, Hubei, China",255,29.986899,109.491485,political
"Xianfeng, Enshi, Hubei, China",256,29.665202,109.139726,political
"Laifeng, Enshi, Hubei, China",257,29.493484,109.407828,political
"Hefeng, Enshi, Hubei, China",258,29.890171,110.033662,political
"Xiantao, Hubei, China",259,30.360882,113.423482,political
"Qianjiang, Hubei, China",260,30.402167,112.899762,political
"Tianmen, Hubei, China",261,30.653061,113.165862,political
"Shennongjia, Hubei, China",262,31.743483,110.680447,political
"Furong, Changsha, Hunan, China",263,28.185386,113.032539,political
"Tianxin, Changsha, Hunan, China",264,28.112525,112.989854,political
"Yuelu, Changsha, Hunan, China",265,28.235193,112.931374,political
"Kaifu, Changsha, Hunan, China",266,28.257268,112.985545,political
"Yuhua, Changsha, Hunan, China",267,28.13771,113.038017,political
"Wangcheng, Changsha, Hunan, China",268,28.353912,112.833836,political
"Changsha, Hunan, China",269,28.24615,113.08081,political
"Ningxiang, Changsha, Hunan, China",270,28.277482,112.551885,political
"Liuyang, Changsha, Hunan, China",271,28.162833,113.643076,political
"Hetang, Zhuzhou, Hunan, China",272,27.855928,113.173487,political
"Lusong, Zhuzhou, Hunan, China",273,27.78507,113.152724,political
"Shifeng, Zhuzhou, Hunan, China",274,27.875445,113.117731,political
"Tianyuan, Zhuzhou, Hunan, China",275,27.826866,113.082216,political
"Zhuzhou, Hunan, China",276,27.699234,113.143921,political
"Youxian, Zhuzhou, Hunan, China",277,27.014583,113.396385,political
"Chaling, Zhuzhou, Hunan, China",278,26.777521,113.539094,political
"Yanling, Zhuzhou, Hunan, China",279,26.489902,113.772655,political
"Liling, Zhuzhou, Hunan, China",280,27.646096,113.496999,political
"Yuhu, Xiangtan, Hunan, China",281,27.856325,112.907162,political
"Yuetang, Xiangtan, Hunan, China",282,27.872028,112.969479,political
"Xiangtan, Hunan, China",283,27.778958,112.950831,political
"Xiangxiang, Xiangtan, Hunan, China",284,27.734109,112.535036,political
"Shaoshan, Xiangtan, Hunan, China",285,27.915008,112.52667,political
"Zhuhui, Hengyang, Hunan, China",286,26.894765,112.620209,political
"Yanfeng, Hengyang, Hunan, China",287,26.888665,112.616612,political
"Shigu, Hengyang, Hunan, China",288,26.943755,112.597992,political
"Zhengxiang, Hengyang, Hunan, China",289,26.911413,112.566996,political
"Nanyue, Hengyang, Hunan, China",290,27.232443,112.738604,political
"Hengyang, Hunan, China",291,26.969577,112.370546,political
"Hengnan, Hengyang, Hunan, China",292,26.738247,112.677877,political
"Hengshan, Hengyang, Hunan, China",293,27.23029,112.868268,political
"Hengdong, Hengyang, Hunan, China",294,27.08117,112.953168,political
"Qidong, Hengyang, Hunan, China",295,26.799896,112.090356,political
"Leiyang, Hengyang, Hunan, China",296,26.422277,112.859759,political
"Changning, Hengyang, Hunan, China",297,26.420932,112.399995,political
"Shuangqing, Shaoyang, Hunan, China",298,27.232708,111.496341,political
"Daxiang, Shaoyang, Hunan, China",299,27.221452,111.43909,political
"Beita, Shaoyang, Hunan, China",300,27.246489,111.452196,political
"Shaodong, Shaoyang, Hunan, China",301,27.258987,111.74427,political
"Xinshao, Shaoyang, Hunan, China",302,27.320917,111.458656,political
"Shaoyang, Hunan, China",303,26.990637,111.273805,political
"Longhui, Shaoyang, Hunan, China",304,27.113978,111.032437,political
"Dongkou, Shaoyang, Hunan, China",305,27.06032,110.575846,political
"Suining, Shaoyang, Hunan, China",306,26.581954,110.155655,political
"Xinning, Shaoyang, Hunan, China",307,26.433417,110.856622,political
"Chengbu, Shaoyang, Hunan, China",308,26.390598,110.322239,political
"Wugang, Shaoyang, Hunan, China",309,26.726599,110.631884,political
"Yueyanglou, Yueyang, Hunan, China",310,29.371814,113.129685,political
"Yunxi, Yueyang, Hunan, China",311,29.472745,113.272312,political
"Junshan, Yueyang, Hunan, China",312,29.461106,113.006435,political
"Yueyang, Hunan, China",313,29.356803,113.12873,locality
"Huarong, Yueyang, Hunan, China",314,29.531057,112.540463,political
"Xiangyin, Yueyang, Hunan, China",315,28.670807,112.883301,political
"Pingjiang, Yueyang, Hunan, China",316,28.701868,113.581234,political
"Miluo, Yueyang, Hunan, China",317,28.806394,113.06724,political
"Linxiang, Yueyang, Hunan, China",318,29.476849,113.450422,political
"Wuling, Changde, Hunan, China",319,29.028766,111.697912,political
"Dingcheng, Changde, Hunan, China",320,29.018593,111.680783,political
"Anxiang, Changde, Hunan, China",321,29.411309,112.171131,political
"Hanshou, Changde, Hunan, China",322,28.906106,111.970514,political
"Lixian, Changde, Hunan, China",323,29.633236,111.758702,political
"Linli, Changde, Hunan, China",324,29.440793,111.647517,political
"Taoyuan, Changde, Hunan, China",325,28.902503,111.488925,political
"Shimen, Changde, Hunan, China",326,29.584292,111.380014,political
"Jinshi, Changde, Hunan, China",327,29.60548,111.877499,political
"Yongding, Zhangjiajie, Hunan, China",328,29.119855,110.537138,political
"Wulingyuan, Zhangjiajie, Hunan, China",329,29.34573,110.550433,political
"Cili, Zhangjiajie, Hunan, China",330,29.429999,111.139775,political
"Sangzhi, Zhangjiajie, Hunan, China",331,29.400069,110.165819,political
"Ziyang, Yiyang, Hunan, China",332,28.590965,112.324322,political
"Heshan, Yiyang, Hunan, China",333,28.579343,112.374024,political
"Nanxian, Yiyang, Hunan, China",334,29.361338,112.396241,political
"Taojiang, Yiyang, Hunan, China",335,28.518085,112.155822,political
"Anhua, Yiyang, Hunan, China",336,28.374107,111.212846,political
"Yuanjiang, Yiyang, Hunan, China",337,28.847045,112.355954,political
"Beihu, Chenzhou, Hunan, China",338,25.784054,113.011035,political
"Suxian, Chenzhou, Hunan, China",339,25.800369,113.042441,political
"Guiyang, Chenzhou, Hunan, China",340,25.754116,112.734141,political
"Yizhang, Chenzhou, Hunan, China",341,25.399792,112.948772,political
"Yongxing, Chenzhou, Hunan, China",342,26.12715,113.116527,political
"Jiahe, Chenzhou, Hunan, China",343,25.587519,112.36902,political
"Linwu, Chenzhou, Hunan, China",344,25.27556,112.563456,political
"Rucheng, Chenzhou, Hunan, China",345,25.532816,113.684727,political
"Guidong, Chenzhou, Hunan, China",346,26.077616,113.944614,political
"Anren, Chenzhou, Hunan, China",347,26.709056,113.269441,political
"Zixing, Chenzhou, Hunan, China",348,25.976243,113.236146,political
"Lingling, Yongzhou, Hunan, China",349,26.221936,111.631109,political
"Lengshuitan, Yongzhou, Hunan, China",350,26.461076,111.592142,political
"Qiyang, Yongzhou, Hunan, China",351,26.58012,111.840657,political
"Dong'an, Yongzhou, Hunan, China",352,26.394403,111.314117,political
"Shuangpai, Yongzhou, Hunan, China",353,25.961909,111.659967,political
"Daoxian, Yongzhou, Hunan, China",354,25.526437,111.600795,political
"Jiangyong, Yongzhou, Hunan, China",355,25.273539,111.343911,political
"Ningyuan, Yongzhou, Hunan, China",356,25.570888,111.945844,political
"Lanshan, Yongzhou, Hunan, China",357,25.369725,112.196567,political
"Xintian, Yongzhou, Hunan, China",358,25.904305,112.203287,political
"Jianghua, Yongzhou, Hunan, China",359,25.185809,111.579535,political
"Hecheng, Huaihua, Hunan, China",360,27.578926,110.040315,political
"Zhongfang, Huaihua, Hunan, China",361,27.440523,109.946012,political
"Yuanling, Huaihua, Hunan, China",362,28.452686,110.393844,political
"Chenxi, Huaihua, Hunan, China",363,28.006336,110.183917,political
"Xupu, Huaihua, Hunan, China",364,27.90828,110.594921,political
"Huitong, Huaihua, Hunan, China",365,26.887238,109.735661,political
"Mayang, Huaihua, Hunan, China",366,27.857569,109.81701,political
"Xinhuang, Huaihua, Hunan, China",367,27.352673,109.174932,political
"Zhijiang, Huaihua, Hunan, China",368,27.443499,109.684629,political
"Jingzhou, Huaihua, Hunan, China",369,26.575052,109.69631,political
"Tongdao, Huaihua, Hunan, China",370,26.158054,109.784412,political
"Hongjiang, Huaihua, Hunan, China",371,27.208609,109.836669,political
"Louxing, Loudi, Hunan, China",372,27.729923,112.001935,political
"Shuangfeng, Loudi, Hunan, China",373,27.456658,112.175245,political
"Xinhua, Loudi, Hunan, China",374,27.726514,111.327412,political
"Lengshuijiang, Loudi, Hunan, China",375,27.686251,111.434984,political
"Lianyuan, Loudi, Hunan, China",376,27.692542,111.664316,political
"Jishou, Xiangxi, Hunan, China",377,28.262375,109.698015,political
"Luxi, Xiangxi, Hunan, China",378,28.216641,110.21961,political
"Fenghuang, Xiangxi, Hunan, China",379,27.948308,109.599191,political
"Huayuan, Xiangxi, Hunan, China",380,28.572029,109.482078,political
"Baojing, Xiangxi, Hunan, China",381,28.709604,109.651445,political
"Guzhang, Xiangxi, Hunan, China",382,28.616935,109.950728,political
"Yongshun, Xiangxi, Hunan, China",383,29.00144,109.851254,political
"Longshan, Xiangxi, Hunan, China",384,29.457662,109.443938,political
"Liwan, Guangzhou, Guangdong, China",385,23.12598,113.244261,political
"Yuexiu, Guangzhou, Guangdong, China",386,23.128523,113.266841,political
"Haizhu, Guangzhou, Guangdong, China",387,23.083216,113.317302,political
"Tianhe, Guangzhou, Guangdong, China",388,23.12468,113.3612,political
"Baiyun, Guangzhou, Guangdong, China",389,23.157289,113.273288,political
"Huangpu, Guangzhou, Guangdong, China",390,23.106401,113.459749,political
"Panyu, Guangzhou, Guangdong, China",391,22.937244,113.384129,political
"Huadu, Guangzhou, Guangdong, China",392,23.404165,113.220218,political
"Nansha, Guangzhou, Guangdong, China",393,22.801624,113.525165,political
"Conghua, Guangzhou, Guangdong, China",394,23.548852,113.586605,political
"Zengcheng, Guangzhou, Guangdong, China",395,23.261141,113.810859,political
"Wujiang, Shaoguan, Guangdong, China",396,24.792926,113.587756,political
"Zhenjiang, Shaoguan, Guangdong, China",397,24.80438,113.611098,political
"Qujiang, Shaoguan, Guangdong, China",398,24.682501,113.604535,political
"Shixing, Shaoguan, Guangdong, China",399,24.952976,114.061789,political
"Renhua, Shaoguan, Guangdong, China",400,25.085621,113.749027,political
"Wengyuan, Shaoguan, Guangdong, China",401,24.350346,114.130342,political
"Ruyuan, Shaoguan, Guangdong, China",402,24.776078,113.275883,political
"Xinfeng, Shaoguan, Guangdong, China",403,24.05976,114.206867,political
"Lechang, Shaoguan, Guangdong, China",404,25.130602,113.347545,political
"Nanxiong, Shaoguan, Guangdong, China",405,25.117753,114.311982,political
"Luohu, Shenzhen, Guangdong, China",406,22.54817,114.131764,political
"Futian, Shenzhen, Guangdong, China",407,22.521523,114.055023,political
"Nanshan, Shenzhen, Guangdong, China",408,22.533012,113.930475,political
"Bao'an, Shenzhen, Guangdong, China",409,22.555259,113.884019,political
"Longgang, Shenzhen, Guangdong, China",410,22.720974,114.246899,political
"Yantian, Shenzhen, Guangdong, China",411,22.556499,114.236875,political
"Xiangzhou, Zhuhai, Guangdong, China",412,22.265811,113.543784,political
"Doumen, Zhuhai, Guangdong, China",413,22.2092,113.296467,political
"Jinwan, Zhuhai, Guangdong, China",414,22.146874,113.363393,political
"Longhu, Shantou, Guangdong, China",415,23.372254,116.716446,political
"Jinping, Shantou, Guangdong, China",416,23.365556,116.70345,political
"Haojiang, Shantou, Guangdong, China",417,23.286079,116.726972,political
