User_Photos,Review_Funny,Review_Date,User_Image_Link,User_Profile_Link,User_Neighborhood,User_City,User_State,User_Country,Review_Rating,User_Friends,Review_Useful,User_Reviews,Review_Type,Review_Contents,User_Name,Review_Cool,User_2021_Elite,ObjectId,Is_CTR,Lon,Lat
28,0,3/30/11,https://s3-media0.fl.yelpcdn.com/photo/L-MhKJtb6sfzO2nlqL6TGA/60s.jpg,https://yelp.com/user_details?userid=If_EHwN-G2HOkCTIWNhSfQ,,San Leandro,CA,United States,4,41,0,215,Recommended,In a neighborhood where there is next to nothing in terms of options," it is a relief that Comet exists. ¥Ë_¥Ë_The pizza is very good. ¥Ë_¥Ë_While it does not typically make """"""""City's best pizza"""""""" rankings", I personally find it to be top notch quality. ¥Ë_¥Ë_It doesn't excel in the typical, but has a great variety. ¥Ë_¥Ë_I can easily have one to myself each time I go. ¥Ë_¥Ë_The bar is also well stocked. ¥Ë_¥Ë_The beer selection is solid and I'm told the wine and mixed drinks leave little to complain about. ¥Ë_¥Ë_The service is a little slow,11,0,-122.15856,37.72832
4,0,4/9/11,https://s3-media0.fl.yelpcdn.com/photo/CTYPKuwhHAVHFV-oNJ_Uvg/60s.jpg,https://yelp.com/user_details?userid=O_fUDpT7X_Nni1yDg3TEuA,,Washington,DC,United States,4,3,0,18,Recommended,I've been here at least ten times. ¥Ë_¥Ë_It makes me incredibly happy. ¥Ë_¥Ë_The Steel Wills is my favorite on the menu. ¥Ë_¥Ë_The salad is always fresh. ¥Ë_¥Ë_Although I appreciate a cheap PBR, I often wind up with a hefeweizen. ¥Ë_¥Ë_Or two. ¥Ë_¥Ë_The pizza comes out quickly.While the dining room can be crowded, many times I've been told I'll have to wait for a table for 10 minutes, been handed a beeper,12,0,-77.03196,38.89037
0,0,11/21/11,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://yelp.com/user_details?userid=S5vcHmwm680OWH7Dcprvtg,,Potomac,MD,United States,1,4,12,41,Recommended,The reason why this place gets 1 star from me is due to lack of Service! The service is absolutely horrible!The place is dark and dingy and not that clean. You have sweaty people who probably touched your table and chairs (from playing pingpong in the back). So a pingpong table is a nice idea to entertain while you wait, but what about the sanitation. Also, if you decide to go back to play, your wait will easily exceed the time you are told to wait.The pizza is so overpriced and the only exception is the smoky pizza,13,0,-77.20884,39.01796
81,0,9/23/09,https://s3-media0.fl.yelpcdn.com/photo/cgUC4r40tM24nMnTD_F8Uw/60s.jpg,https://yelp.com/user_details?userid=YAMYOB9Yxm2jtWckNCX-qg,,Washington,DC,United States,4,108,0,361,Recommended,Funky space, but pretty decent pizza at a good price. ¥Ë_¥Ë_The waiters are all good looking, and know what they are doing. ¥Ë_¥Ë_This is one of those places you can take a date, the kids,14,0,-77.03196,38.89037
0,0,11/18/09,https://s3-media0.fl.yelpcdn.com/photo/FMACqhUU65zPqeQ4Lnw9zw/60s.jpg,https://yelp.com/user_details?userid=0Oiis-TGpOF14PEczLpSsA,,Miami,FL,United States,5,102,0,14,Recommended,I love Comet, this is where you will typically find me on a Thursday or Friday evening just chilling with friends in a very cool and relaxed atmosphere. It is nice to know that you have a local bar in the neighborhood, and no, it is definitely not like Adams Morgan! The pizza is not just good,15,0,-80.19773,25.77481
0,1,1/22/17,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://yelp.com/user_details?userid=ZvHhnmgpsX7juy7oCE8eRQ,Northwest Washington,Washington,DC,United States,4,153,0,18,Recommended,Finally checked out Comet Ping Pong after living in the neighborhood for a while and were so glad we did! The place is cavernous with lots of seating, and we were brought to a table right away at 7pm on a Wednesday. My boyfriend really enjoyed the wings appetizer (I'll take his word for it since I'm not a wings fan), and I raved about the Smoky Pizza. Delicious bacon, mushrooms,16,1,-113.5091,37.13027
0,0,5/6/11,https://s3-media0.fl.yelpcdn.com/photo/5jo_b2B3E81AwUpSyZJb5w/60s.jpg,https://yelp.com/user_details?userid=O72pih_CP6TzpYU8LqEX5g,,Lafayette,CO,United States,3,13,0,49,Recommended,This place has a fun atmosphere and the pizzas (and beers) are great, ¥Ë_¥Ë_but the service was slow and the bathroom was disguuuuusting. ¥Ë_¥Ë_This was on a random Thursday, so I can only imagine how it gets on the weekends.We had the smoky pizza and a few make your owns," and they were all really good.""""",17,0,-105.09052,39.98828
0,0,3/6/13,https://s3-media0.fl.yelpcdn.com/photo/TjPfqh1uhy2U5HQGE0eIBQ/60s.jpg,https://yelp.com/user_details?userid=VEp_VFuXdwv3zWJw1RLacw,,Manhattan,NY,United States,3,208,0,258,Recommended,After visiting this place many times, I think I am sticking with my 3 stars which is fair. Pizza are delightful but for $15 they are extremely small, you better not be hungry. Service has gotten better but is very slow, including at the bar and I can't stand that hipster/hater attitude. No matter the place,18,0,-74.00601,40.7145
2,0,7/3/10,https://s3-media0.fl.yelpcdn.com/photo/ERm5FUVwp3ISY266bcItcQ/60s.jpg,https://yelp.com/user_details?userid=u7eHmUpc4KoprofUS-KPOw,,Washington,DC,United States,3,6,0,32,Recommended,Ping pong and beer - what an amazing idea. There need to be more bars that provide entertainment that's more than a muted flatscreen tuned to ESPN. That being said, you really can't market yourself as a neighborhood bar and have your lowest priced option be a $4 Pabst. I understand DC is an expensive city, and upper Connecticut Ave can't be cheap rent, but when you can get a Brooklyn Lager in Manhattan for less than they charge for PBR at comet,19,0,-77.03196,38.89037
0,0,12/19/10,https://s3-media0.fl.yelpcdn.com/photo/60_l3_AI-KtDQUgojbpSYA/60s.jpg,https://yelp.com/user_details?userid=N3qEV8BdOIIAPtIdFF_dZQ,,Rockville,MD,United States,4,30,0,98,Recommended,Also saw on Triple D. Not sure if it was the best pizza of my life but it's darn good. The crust is chewy and tastes like real dough (not something that was thawed), excellent house-made fennel sausage, and quality cheese. I also had the basic green salad, which consisted of fresh bitter greens with a good quality olive oil and salt. The service was laid-back and courteous. We went during the off hours,20,0,-77.15118,39.08196
0,1,5/2/14,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://yelp.com/user_details?userid=uERR3-_5DH-YVVLdhFqdIw,,Washington,DC,United States,2,0,2,81,Recommended,I really liked this place but am on the fence of whether I will ever go again. Why you ask? The food, atmosphere and everything I experienced at the front of the restaurant was good. The bathrooms.......I just needed to take a long pause because I am still haunted by how DISGUSTING they were. Yes, I capped that. It was only around 7:30 on a Thursday night so I don't know how the bathrooms had gotten to the level of a bar on Bourbon Street during Marde Gras. Really? Was every guy so wasted by that point he didn't know how to aim? Seriously, it was like urine graffiti art - all over the floor,21,0,-77.03196,38.89037
2,0,7/15/13,https://s3-media0.fl.yelpcdn.com/photo/y5IV7X5nlTJDAfYHPCd9og/60s.jpg,https://yelp.com/user_details?userid=YEr47Gfm26ECrrI8QX_d_A,,Washington,DC,United States,2,12,0,5,Recommended,First time here the place looks ok. I ordered the yalie pizza it was little salty, not many clams. And we found a small piece of wire wrap in a piece of papper. We let waitress know and she took it to the manager. ¥Ë_¥Ë_The manager come over told us doen' t how it happen, and he took care the bill. He did offer us something else. We declined and left the place will not go back again," its not good anyway.""""",22,0,-77.03196,38.89037
0,0,3/13/10,https://s3-media0.fl.yelpcdn.com/photo/yofDrHeWjvlOGKNPq1_uzA/60s.jpg,https://yelp.com/user_details?userid=JqS-jRwKPSEZmRmBkpk-1g,,Waltham,MA,United States,5,8,0,27,Recommended,Went here for dinner/drinks with a couple of close friends on a whim, definitely worth it. Started with a pitcher of Allagash at the bar. The bartender was very friendly. (For some reason the indie/hipster/scene places in DC have the friendliest bartenders, like DC9 in U-Street).After that, we got a table,23,0,-71.23502,42.37649
1,0,7/28/10,https://s3-media0.fl.yelpcdn.com/photo/yg_kKUx1DcF-e4AWgNTXAQ/60s.jpg,https://yelp.com/user_details?userid=8iro69P4P6fK6j3aPGJGng,,Arlington,VA,United States,4,32,0,13,Recommended,Light and crispy pizza, fresh ingredients. Delicious! Yes it was slightly pricey but felt worth it. Maybe over priced by maybe a dollar or two. Not a big deal. Pretty good beer selection, and there was a special going on. Nice atmosphere. Felt like a real local place. Families, lots of hot youngsters. I'm guessing they were all students from the nearby college. People of all age ranges were there,24,0,-77.08629,38.8905
0,0,9/6/10,https://s3-media0.fl.yelpcdn.com/photo/wayaQeXijI-L6OAPMKYWxw/60s.jpg,https://yelp.com/user_details?userid=gEXHcI1uuXwj5i3zfmvRJg,,Fairfax,VA,United States,4,4,0,29,Recommended,Probably the BEST WOOD-FIRED PIZZA (an additional perk) in the Tri-State area!Comet Ping Pong is one of our faves! ¥Ë_¥Ë_We find ourselves eating there quite regularly.Very eclectic for sure, part of why we love it. ¥Ë_¥Ë_The atmosphere is not your average, it's most certainly above average - hey you are going for fantastic, yet adventurous 'za AND of course,25,0,-77.30905,38.84185
8,0,1/25/13,https://s3-media0.fl.yelpcdn.com/photo/AbtpE3bAwEfWUYhbwShkvw/60s.jpg,https://yelp.com/user_details?userid=2yv5DpIRleszxxmRZ0oq7A,,Palo Alto,CA,United States,4,92,0,99,Recommended,Delicious, fun and spacious. My husband eats meat - I don't. We both still love this place. You can go on a date," with your family or just grab a beer there.""""",Angie E.,26,0,-122.16079,37.44466
0,0,1/1/09,https://s3-media0.fl.yelpcdn.com/photo/KljRDSaQAtx8ahbR_D81sw/60s.jpg,https://yelp.com/user_details?userid=0HsWRFcm8KB5NhV63mDjIQ,,Washington,DC,United States,4,1,0,29,Recommended,Good Pizza... a little overpriced," but the ambiance makes up for it!Love the ¥Ë_¥Ë_crust and the staff is quick and friendly.Ping pong tables! - innovative and cute ideaLocation - next to my favorite bookstore in the area!""""",Betty O.,0,27,0,-77.03196,38.89037
2,0,1/6/11,https://s3-media0.fl.yelpcdn.com/photo/EmXPvTwn7ofwHCjp2nKeEw/60s.jpg,https://yelp.com/user_details?userid=L7K4zt1LU5X6LmQZok7UQg,,Washington,DC,United States,4,1,0,54,Recommended,3.5 starsThis place was the site of my first date with my boyfriend. ¥Ë_¥Ë_We did not eat there, but instead went for a show and the $2.50 PBRs. ¥Ë_¥Ë_Since it seems so popular we went back about a month later on a Friday night. ¥Ë_¥Ë_The wait was 25 minutes so we decided to go next door. ¥Ë_¥Ë_Finally, since it was a Tuesday night we got to go this week to try the food. ¥Ë_¥Ë_We were seated near the bar, but we still assumed we would have a waiter. ¥Ë_¥Ë_After alteast 10 minutes and many efforts to make eye contact with the other waiters,28,0,-77.03196,38.89037
0,0,7/8/14,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://yelp.com/user_details?userid=bFjAJtVMBhq_MUhJRJ_vgQ,,Washington,DC,United States,4,0,1,2,Recommended,Really great pizza options and beer. ¥Ë_¥Ë_The downside is definitely price - it's a bit expensive, but that's what you get for quality ingredients ... ¥Ë_¥Ë_You can create your own pizza or order straight off the menu. ¥Ë_¥Ë_They have vegan cheese, which is AWESOME. ¥Ë_¥Ë_The crust is delicious, but contains honey,29,0,-77.03196,38.89037
0,0,9/18/12,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://yelp.com/user_details?userid=20F9dTYECigaB9rjd0-k1g,,Washington,DC,United States,4,0,1,12,Recommended,This is a great space! Love the atmosphere and the staff. ¥Ë_¥Ë_Especially love coming just before the kitchen closes , grabbing food and hanging at the bar with the regulars and locals. Seems to have a tight knit group of regular customers that come after the crazy dinner crowd. The shows are some of the best in the city and theyre getting even better. Now onto the food! BEST WINGS YOU WILL EVER EAT," EVER! Favorite pizza is the smoky but Ive had almost all of them and theyre all delicious. ¥Ë_¥Ë_Delicious/fresh salads and the meatballs are awesome! No complaints..... A weekly MUST.""""",Doug S.,30,0,-77.03196,38.89037
0,0,12/29/12,https://s3-media0.fl.yelpcdn.com/photo/eXXHm5E525x5zmODXabUHw/60s.jpg,https://yelp.com/user_details?userid=Q6fe5KndPikOUGtKovgD1Q,,Nashville,TN,United States,4,38,0,83,Recommended,I and six friends had a nice time eating and drinking here. ¥Ë_¥Ë_I had beer and pizza," along with the excellent cauliflower appetizer. ¥Ë_¥Ë_We were able to get a table after only a 20-minute or so wait; we went relatively early on a Saturday night. ¥Ë_¥Ë_The staff were attentive and not at all anxious when we stayed for a while chatting. ¥Ë_¥Ë_Great experience overall.""""",Christine M.,0,31,0,-86.77816,36.16784
3,0,2/4/13,https://s3-media0.fl.yelpcdn.com/photo/pmMRA_-V29UNfrfxw9hvpA/60s.jpg,https://yelp.com/user_details?userid=t_qvxlkyF1nu2_WYgIxFaw,,Eugene,OR,United States,4,17,0,44,Recommended,Cool venue. They have a lot of good beers available. I did not try the food but it smelled delicious.,Sean J.,0,No,32,0,-123.08854,44.04992
0,0,8/11/10,https://s3-media0.fl.yelpcdn.com/photo/rF1uQhHCKNAjMjhyUUjYDQ/60s.jpg,https://yelp.com/user_details?userid=ngkkAmXjLQTgxkPMQh4j_g,,Saint Louis,MO,United States,3,26,0,9,Recommended,I went here with two friends after one had seen it on Food Network's Diners, Drive-ins and Dives. ¥Ë_¥Ë_I went to school in the DC area and always drove by it on my way home but never tried it.I would definitely go back, but I wish I had known some things before going there the first time. ¥Ë_¥Ë_Primarily, the pizzas are small but pricey. ¥Ë_¥Ë_They have lots to choose from,33,0,-90.19956,38.62775
0,0,12/26/10,https://s3-media0.fl.yelpcdn.com/photo/EhRd8PN7eQiAXT5pXhxV6Q/60s.jpg,https://yelp.com/user_details?userid=D_a8tbz_Tuh4x4lGW9nVZA,,Washington,DC,United States,4,2,0,19,Recommended,People complain about this place being too hipstery, but its location (in between Chevy Chase and Van Ness) is probably one of the least hipstery places in all of DC. It's great for individuals, couples, and families.I've had almost all of the pizzas,34,0,-77.03196,38.89037
3,0,2/1/13,https://s3-media0.fl.yelpcdn.com/photo/FhM7EZ9SBKS86tDPFsiffw/60s.jpg,https://yelp.com/user_details?userid=fV9wOXZuRQAWY5Zz0EyTeg,,Silver Spring,MD,United States,4,2,0,39,Recommended,Love this place! ¥Ë_¥Ë_Been here a few times now and it keeps getting better. ¥Ë_¥Ë_I am a big fan of their smokey mushroom pizza. ¥Ë_¥Ë_Great place for families," my kids love what they have gotten to and ask to go back. ¥Ë_¥Ë_Great atmosphere and really fun if you are into playing ping pong with dinner!""""",Michael V.,0,35,0,-77.02914,38.99693
0,0,9/19/13,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://yelp.com/user_details?userid=11P8_0b24JAvvXLK9yMDeg,,Catonsville,MD,United States,1,48,6,17,Recommended,Okay, so let me start by saying the Yalie, pizza with clams and carmelized onions was AWESOME so the food is not the reason for this scathing review....the service, what little there was of it,36,0,-76.73976,39.27023
6,0,6/27/12,https://s3-media0.fl.yelpcdn.com/photo/GM0CMIMSjRcXjAxoW-WCKw/60s.jpg,https://yelp.com/user_details?userid=vr6EwvHgsT2f-scHr-Suzw,,Philadelphia,PA,United States,3,17,1,40,Recommended,It'll do in a pinch but wasn't anything special. ¥Ë_¥Ë_Had wanted to come for sometime but the food was just so-so and the ping pong tables were too packed for any hope of playing. ¥Ë_¥Ë_In contrast to other Yelpers, the service we got was terrific--warm," friendly and fast.""""",Ahaviah G.,37,0,-75.16218,39.95222
0,0,4/27/13,https://s3-media0.fl.yelpcdn.com/photo/m25jQuydSEPX_zX4Fk1yZg/60s.jpg,https://yelp.com/user_details?userid=3EFc4FpJj_7-Rt4lqlEIZw,,Philadelphia,PA,United States,4,0,0,16,Recommended,I live a block from Comet and it's the best pizza I've had in the city. ¥Ë_¥Ë_The Time Out is amazingggggg!!!! (Homemade sausage, blue cheese, potatoes, melted onions..... amazing). ¥Ë_¥Ë_Points for a great industrial feel to the space,38,0,-75.16218,39.95222
0,0,4/12/13,https://s3-media0.fl.yelpcdn.com/photo/CZGI7yglBMaZZRHhQfWVOQ/60s.jpg,https://yelp.com/user_details?userid=RLE9EPKvlEVdy_Zkmi9SqQ,,Silver Spring,MD,United States,5,1,0,9,Recommended,Every time I go to Comet Pizza I leave a very happy customer. The place is fun, great ambiance, the wait staff are always responsive and are nice funny people, the beer is wonderful (Allagash white with lemon wedges),39,0,-77.02914,38.99693
0,0,2/17/13,https://s3-media0.fl.yelpcdn.com/photo/a-UzpCuDtQCgSZoZlmDxng/60s.jpg,https://yelp.com/user_details?userid=wOdEuKwGgNROKc0cEHAYiQ,,Woodbridge,VA,United States,4,10,0,14,Recommended,This place is pretty fun and unique. The pizza is good, they have a good beer selection," and the ping-pong is just really fun.""""",A P.,40,0,-77.24709,38.66159
71,0,11/11/12,https://s3-media0.fl.yelpcdn.com/photo/6bCS99TbzfV0q45MlDYJQg/60s.jpg,https://yelp.com/user_details?userid=RYjt1X8Plwayx0cf6aLobA,,Silver Spring,MD,United States,3,93,0,616,Recommended,We stopped in hoping to play ping pong, but the 5 or so tables were all in use at the time. The pizza and salads smelled and looked delicious, though. This would be a good place to eat before or after a Politics and Prose event. (next door) ¥Ë_¥Ë_Absolutely adorable use of ping-pong themed decor, though,41,0,-77.02914,38.99693
0,0,10/12/09,https://s3-media0.fl.yelpcdn.com/photo/IexSyowr3zedyQh2xVPm4Q/60s.jpg,https://yelp.com/user_details?userid=BO9qI9ta1y673D_74rRkEA,,Annandale,VA,United States,3,2,0,5,Recommended,I really love the interior space and the trompe l'oeil on the wall to the bathrooms - but impressed mostly with their WINGS! indian-spiced, unlike any(w)hing I've had before - so tender," so juicy.nothing like having your pizza topped with seasonal ingredients - and there was never a better partner for these pies than Anchor Steam!""""",nevine y.,42,0,-77.19575,38.83198
4,0,11/1/10,https://s3-media0.fl.yelpcdn.com/photo/02-3UI9yFTHlMhpUv6PyUw/60s.jpg,https://yelp.com/user_details?userid=64hu8jvfPT_S1YxhTw6Duw,,Minneapolis,MN,United States,5,1,0,4,Recommended,Where do I start? My friend and I were visiting DC from the Midwest and we had heard this restaurant/bar was on Diners Drive in's and dives. We were intrigued so we decided to go for dinner on Saturday night.It was amazing! Pizza was delicious, the beer selection was great," our server Sarah was the best and the atmosphere was like no other I have ever experienced. This is where the locals go! Don't get me wrong I love fancy restaurants with famous chef's but this place is one of the coolest places I have ever been to. So unique that it needs its own category. ¥Ë_¥Ë_If you are looking for a laid back night this is your place! Ask for Sarah and enjoy some of the best pizza around. Don't forget to play a round of ping pong too!""""",Maggie B.,43,0,-93.26494,44.97902
146,1,9/5/11,https://s3-media0.fl.yelpcdn.com/photo/cMejn1ra92Ib17BuxOStVw/60s.jpg,https://yelp.com/user_details?userid=T3c00blWOMqp2VFAhyHLlA,,Fairfax,VA,United States,2,102,4,209,Recommended,I came here to redeem my Groupon and was massively disappointed. Ordered a pizza with basil and prosciutto. When it came out there was a pile of cold, torn up prosciutto atop a pile of cold arugula. It almost looked like I'd ordered a chef salad. Sarah, my waitress, offered to have them make me a new pizza,44,0,-77.30905,38.84185
0,0,6/4/10,https://s3-media0.fl.yelpcdn.com/photo/RIO2qdoorHAcM2GUPhKoRw/60s.jpg,https://yelp.com/user_details?userid=ZHuiIziW7e2n93zVX8KBkQ,,Alexandria,VA,United States,4,0,0,8,Recommended,Fun atmosphere. Neighborhood is cool, though a bit isolated. LOVE the outside dining, especially on a humid summer evening. It started sprinkling rain a little - loved that too. The waitstaff is laidback and cool. I didn't go to the hidden bathroom, my partner did - the way he described it,45,0,-77.04341,38.8046
2,0,11/5/14,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://yelp.com/user_details?userid=D-b69kd4NKj6g9X_GR45rA,,Atlanta,GA,United States,2,2,0,12,Recommended,I ordered wings and two different pizzas here. ¥Ë_¥Ë_I was honestly expecting a lot better. ¥Ë_¥Ë_The wings were a bit small and overcooked and dry, but did have a really good mix of spices coating them. ¥Ë_¥Ë_The pizza was just mediocre. ¥Ë_¥Ë_Nothing was particularly bad about it," but nothing particularly good either that set it apart from other places. ¥Ë_¥Ë_The crust/dough lacked the depth of flavor I've tested elsewhere. ¥Ë_¥Ë_Not really worth the 14 or so dollars per pizza.""""",DJ T.,46,0,-84.39111,33.74831
14,8,3/5/11,https://s3-media0.fl.yelpcdn.com/photo/MGYyKAHqpDPbgsqOCqVpDQ/60s.jpg,https://yelp.com/user_details?userid=LbELshABF7oHNb6GObU-tw,Merrifield,Fairfax,VA,United States,1,353,22,59,Recommended,"The evening started out well! By started I mean the first 10 minutes I was there I had a great time. Why? $2.50 PBR and the menu -looked- good.We asked about about the meatball and cauliflower apps. ¥Ë_¥Ë_""""""""comes with 6-7 meatballs"""""""" and the cauliflower is baked in our oven w/ garlic powder on top. ($6/ea) ¥Ë_¥Ë_When we get the apps there are 5 cold meatballs that are NOT made from scratch. They look like the ones I buy from Costco for $10/6lb bag. ¥Ë_¥Ë_6 or so florettes of cauliflower. ¥Ë_¥Ë_Are you kidding me? $6 each for these? ¥Ë_¥Ë_Cauliflower is just cooked cauliflower with a dusting of garlic powder", and the meatballs they bought from Costco. ¥Ë_¥Ë_This was hands down the WORST $12 I've EVER spent at a restaurant.Pizzas we ordered were good but in an metro area littered with pizza joints, they were nothing to write home about.I'm still hungry at this point. Menu says," """"""""best Tiramisu you'll ever have!"""""""" ok I'll bite..... into the smallest piece of store bought Tiramisu i've ever seen. Ok the food was below-average/average. ¥Ë_¥Ë_At least we can go to the back and play Ping Pong! I can't remember the last time I play ping pong. yay!.......What do you mean we have 10 minutes left to play before they have to put the tables away to make way for this no-name hipster band to play? ¥Ë_¥Ë_Fine. at least we got in before the show so we can at least check them out",47,0,-77.23374,38.87365
